Turkish,English
bir,One
ve,And
olmak,to be
bu,This 
için,for  
o,he
ben,I
demek,means
çok,A lot
yapmak,to do
ne,What
gibi,like
daha,more
almak,to take  
var,there is
kendi,own
gelmek,to come
ile,with
vermek,to give
ama,But
sonra,later
kadar,much
yer,place
en,-most
insan,person 
değil,not
her,each
istemek,to want
yıl,year
çıkmak,to leave
görmek,to see
gün,day
biz,We
gitmek,to go
iş,work
şey,thing
ara,Search
ki,that
bilmek,to know
el,hand
zaman,time
ya,or
çocuk,child
iki,two
bakmak,to look 
çalışmak,to work
içinde,inside
büyük,big
yok,no
başlamak,to start
yol,path
kalmak,to stay
neden,From where
siz,you
konu,Subject
yapılmak,be done
iyi,Good
kadın,Woman
ev,house
ise,whereas
diye,saying
bulunmak,have
söylemek,to say
göz,eyelash
gerekmek,require
dünya,World
baş,head
durum,situation
yan,side
geçmek,to go past
sen,you
onlar,them
yeni,new
önce,before
başka,Another
hal,status
orta,middle
su,This
girmek,to enter
ülke,country
yemek,food
hiç,none
bile,even    
nasıl,How
bütün,all
karşı,opposite
bulmak,to find
böyle,like this
yaşamak,to live
düşünmek,to think
aynı,same
iç,drink
ancak,however
kişi,person
bunlar,these
veya,or 
ilk,first
göre,according to
ön,front
son,end